	File_Name	Total_Kernels	Percent_Transmission	R-Squared	P-Value	Slope
58	X402x449A-1m2	552	47.23007246376812	0.8014302830656914	3.203e-195	0.00016
59	X403x486-1m2	585	51.43589743589744	0.061606081861226424	1.158e-09	3e-05
60	X401x492-3m1	678	20.3023598820059	0.9294355857525063	0.000e+00	0.00022
61	X474-2x402	544	43.841911764705884	0.04148314860256736	1.669e-06	1e-05
62	X400x554A-4m1	448	1.4776785714285714	0.6691324062772435	3.521e-109	7e-05
63	X402x449A-1m3	446	24.865470852017935	0.001914615458212772	3.566e-01	-1e-05
64	X451A-4x402	346	33.22832369942196	0.21545804415152103	6.858e-20	-8e-05
65	X498-4x402	285	43.4	0.22293968767615915	3.132e-17	-8e-05
66	X402x423-2m1	454	67.0	0.698460277816157	9.627e-120	0.00017
67	X402x537A-1m2	630	37.492063492063494	0.14992464839199984	5.763e-24	4e-05
68	X554A-4x400	573	57.73996509598604	0.5411134262015106	1.183e-98	9e-05
69	X400x504AL-1m1	575	40.01565217391305	0.005331627309851313	8.022e-02	0.0
70	X402x489-3m1	574	51.041811846689896	0.2941238912317725	3.337e-45	-5e-05
71	X481A-3x402	576	38.21180555555556	0.0609531028652178	1.906e-09	4e-05
72	X400x467BL-1m3	513	5.237816764132553	0.0	1.000e+00	0.0
73	X468A-1x402	283	61.72791519434629	0.33044245775506104	2.740e-26	-7e-05
74	X402x421-5m2	414	65.84299516908213	0.16722017216077434	4.043e-18	5e-05
75	X402x422-4m2	510	56.207843137254905	0.22301804530967778	1.087e-29	8e-05
76	X401x474-4m2	596	73.0738255033557	0.6694706232873907	6.413e-145	-0.00011
77	X400x529A-6m1	620	45.001612903225805	0.19869586273171827	1.342e-31	3e-05
78	X402x441-2m1	650	69.80153846153846	0.04103368667248858	1.902e-07	2e-05
79	X445-4x402	533	51.15947467166979	0.23301472056790812	1.836e-32	4e-05
80	X402x539-2m1	488	50.11065573770492	0.1376262713213442	2.279e-17	-5e-05
81	X460-2x402	644	58.91925465838509	0.04075497577082976	2.386e-07	2e-05
82	X400x418-2m1	560	52.15357142857143	0.26020112799495976	2.001e-38	7e-05
