	Step_Size	Window_Start	Window_End	Total_Kernels	Total_Fluor	Total_NonFluor	P-Value	Comparison	window_mean	Percent_Transmission
476	2	1097	1497	80	25	55	0.0007962301575908105	< p = 0.05	1297.0	0.3125
477	2	1099	1499	79	25	54	0.0011033489413063281	< p = 0.05	1299.0	0.31645569620253167
478	2	1101	1501	79	25	54	0.0011033489413063281	< p = 0.05	1301.0	0.31645569620253167
479	2	1103	1503	78	25	53	0.0015224195555604972	< p = 0.05	1303.0	0.32051282051282054
480	2	1105	1505	78	25	53	0.0015224195555604972	< p = 0.05	1305.0	0.32051282051282054
481	2	1107	1507	76	24	52	0.0013189686125793603	< p = 0.05	1307.0	0.3157894736842105
482	2	1109	1509	77	25	52	0.0020914050461957132	< p = 0.05	1309.0	0.3246753246753247
483	2	1111	1511	78	26	52	0.003240834571518678	< p = 0.05	1311.0	0.3333333333333333
484	2	1113	1513	78	27	51	0.006578413612826346	< p = 0.05	1313.0	0.34615384615384615
485	2	1115	1515	77	27	50	0.008764828179775055	< p = 0.05	1315.0	0.35064935064935066
486	2	1117	1517	78	27	51	0.006578413612826346	< p = 0.05	1317.0	0.34615384615384615
487	2	1119	1519	79	27	52	0.004912444427571564	< p = 0.05	1319.0	0.34177215189873417
488	2	1121	1521	78	27	51	0.006578413612826346	< p = 0.05	1321.0	0.34615384615384615
489	2	1123	1523	79	28	51	0.009661847869030578	< p = 0.05	1323.0	0.35443037974683544
490	2	1125	1525	79	28	51	0.009661847869030578	< p = 0.05	1325.0	0.35443037974683544
491	2	1127	1527	79	28	51	0.009661847869030578	< p = 0.05	1327.0	0.35443037974683544
492	2	1129	1529	78	28	50	0.012738072274857468	< p = 0.05	1329.0	0.358974358974359
493	2	1131	1531	78	28	50	0.012738072274857468	< p = 0.05	1331.0	0.358974358974359
494	2	1133	1533	77	28	49	0.016703403847161527	< p = 0.05	1333.0	0.36363636363636365
495	2	1135	1535	77	28	49	0.016703403847161527	< p = 0.05	1335.0	0.36363636363636365
496	2	1137	1537	78	28	50	0.012738072274857468	< p = 0.05	1337.0	0.358974358974359
497	2	1139	1539	78	28	50	0.012738072274857468	< p = 0.05	1339.0	0.358974358974359
