	File	Step_Size	Window_Start	Window_End	Total_Kernels	Total_Fluor	Total_NonFluor	P-Value	Comparison	window_mean	Normalized_Window_Mean	Percent_Transmission
145	X4-1x402.xml	2	538	938	99	47	52	0.615302555690511	> p = 0.05	738.0	0.33410138248847926	0.47474747474747475
146	X4-1x402.xml	2	540	940	100	48	52	0.6891565167793516	> p = 0.05	740.0	0.33640552995391704	0.48
147	X4-1x402.xml	2	542	942	101	49	52	0.7653130619721424	> p = 0.05	742.0	0.3387096774193548	0.48514851485148514
148	X4-1x402.xml	2	544	944	102	50	52	0.8430219763697248	> p = 0.05	744.0	0.34101382488479265	0.49019607843137253
149	X4-1x402.xml	2	546	946	101	49	52	0.7653130619721424	> p = 0.05	746.0	0.3433179723502304	0.48514851485148514
150	X4-1x402.xml	2	548	948	102	49	53	0.6920614909359382	> p = 0.05	748.0	0.3456221198156682	0.4803921568627451
151	X4-1x402.xml	2	550	950	102	49	53	0.6920614909359382	> p = 0.05	750.0	0.347926267281106	0.4803921568627451
152	X4-1x402.xml	2	552	952	101	48	53	0.6188233932543242	> p = 0.05	752.0	0.35023041474654376	0.4752475247524752
153	X4-1x402.xml	2	554	954	101	47	54	0.4860994597361772	> p = 0.05	754.0	0.35253456221198154	0.46534653465346537
154	X4-1x402.xml	2	556	956	101	47	54	0.4860994597361772	> p = 0.05	756.0	0.3548387096774194	0.46534653465346537
155	X4-1x402.xml	2	558	958	101	46	55	0.37050198157603165	> p = 0.05	758.0	0.35714285714285715	0.45544554455445546
156	X4-1x402.xml	2	560	960	101	46	55	0.37050198157603165	> p = 0.05	760.0	0.35944700460829493	0.45544554455445546
157	X4-1x402.xml	2	562	962	101	46	55	0.37050198157603165	> p = 0.05	762.0	0.3617511520737327	0.45544554455445546
158	X4-1x402.xml	2	564	964	101	46	55	0.37050198157603165	> p = 0.05	764.0	0.3640552995391705	0.45544554455445546
159	X4-1x402.xml	2	566	966	101	46	55	0.37050198157603165	> p = 0.05	766.0	0.3663594470046083	0.45544554455445546
160	X4-1x402.xml	2	568	968	102	46	56	0.32210200812889284	> p = 0.05	768.0	0.3686635944700461	0.45098039215686275
161	X4-1x402.xml	2	570	970	101	46	55	0.37050198157603165	> p = 0.05	770.0	0.3709677419354839	0.45544554455445546
162	X4-1x402.xml	2	572	972	100	46	54	0.4237107971667936	> p = 0.05	772.0	0.37327188940092165	0.46
163	X4-1x402.xml	2	574	974	99	46	53	0.48172771631662636	> p = 0.05	774.0	0.37557603686635943	0.46464646464646464
164	X4-1x402.xml	2	576	976	99	46	53	0.48172771631662636	> p = 0.05	776.0	0.3778801843317972	0.46464646464646464
165	X4-1x402.xml	2	578	978	99	46	53	0.48172771631662636	> p = 0.05	778.0	0.38018433179723504	0.46464646464646464
166	X4-1x402.xml	2	580	980	99	46	53	0.48172771631662636	> p = 0.05	780.0	0.3824884792626728	0.46464646464646464
167	X4-1x402.xml	2	582	982	99	46	53	0.48172771631662636	> p = 0.05	782.0	0.3847926267281106	0.46464646464646464
168	X4-1x402.xml	2	584	984	98	46	52	0.5444539772747027	> p = 0.05	784.0	0.3870967741935484	0.46938775510204084
169	X4-1x402.xml	2	586	986	98	46	52	0.5444539772747027	> p = 0.05	786.0	0.38940092165898615	0.46938775510204084
170	X4-1x402.xml	2	588	988	98	46	52	0.5444539772747027	> p = 0.05	788.0	0.391705069124424	0.46938775510204084
171	X4-1x402.xml	2	590	990	96	45	51	0.5402913746074198	> p = 0.05	790.0	0.39400921658986177	0.46875
172	X4-1x402.xml	2	592	992	95	45	50	0.607958892174999	> p = 0.05	792.0	0.39631336405529954	0.47368421052631576
173	X4-1x402.xml	2	594	994	95	45	50	0.607958892174999	> p = 0.05	794.0	0.3986175115207373	0.47368421052631576
174	X4-1x402.xml	2	596	996	96	45	51	0.5402913746074198	> p = 0.05	796.0	0.4009216589861751	0.46875
175	X4-1x402.xml	2	598	998	95	44	51	0.47264332017124944	> p = 0.05	798.0	0.4032258064516129	0.4631578947368421
176	X4-1x402.xml	2	600	1000	95	44	51	0.47264332017124944	> p = 0.05	800.0	0.4055299539170507	0.4631578947368421
177	X4-1x402.xml	2	602	1002	96	44	52	0.4142161782425251	> p = 0.05	802.0	0.4078341013824885	0.4583333333333333
178	X4-1x402.xml	2	604	1004	97	44	53	0.3608158770840829	> p = 0.05	804.0	0.41013824884792627	0.4536082474226804
179	X4-1x402.xml	2	606	1006	100	47	53	0.5485062355001471	> p = 0.05	806.0	0.41244239631336405	0.47
180	X4-1x402.xml	2	608	1008	98	46	52	0.5444539772747027	> p = 0.05	808.0	0.4147465437788018	0.46938775510204084
181	X4-1x402.xml	2	610	1010	99	46	53	0.48172771631662636	> p = 0.05	810.0	0.41705069124423966	0.46464646464646464
182	X4-1x402.xml	2	612	1012	99	46	53	0.48172771631662636	> p = 0.05	812.0	0.41935483870967744	0.46464646464646464
183	X4-1x402.xml	2	614	1014	100	46	54	0.4237107971667936	> p = 0.05	814.0	0.4216589861751152	0.46
184	X4-1x402.xml	2	616	1016	100	46	54	0.4237107971667936	> p = 0.05	816.0	0.423963133640553	0.46
185	X4-1x402.xml	2	618	1018	100	46	54	0.4237107971667936	> p = 0.05	818.0	0.42626728110599077	0.46
186	X4-1x402.xml	2	620	1020	100	46	54	0.4237107971667936	> p = 0.05	820.0	0.42857142857142855	0.46
187	X4-1x402.xml	2	622	1022	101	46	55	0.37050198157603165	> p = 0.05	822.0	0.4308755760368664	0.45544554455445546
188	X4-1x402.xml	2	624	1024	101	46	55	0.37050198157603165	> p = 0.05	824.0	0.43317972350230416	0.45544554455445546
189	X4-1x402.xml	2	626	1026	102	46	56	0.32210200812889284	> p = 0.05	826.0	0.43548387096774194	0.45098039215686275
190	X4-1x402.xml	2	628	1028	101	45	56	0.27371781555426994	> p = 0.05	828.0	0.4377880184331797	0.44554455445544555
191	X4-1x402.xml	2	630	1030	100	45	55	0.31731050786291115	> p = 0.05	830.0	0.4400921658986175	0.45
192	X4-1x402.xml	2	632	1032	98	45	53	0.4190203335343158	> p = 0.05	832.0	0.4423963133640553	0.45918367346938777
193	X4-1x402.xml	2	634	1034	97	45	52	0.477243932338015	> p = 0.05	834.0	0.4447004608294931	0.4639175257731959
194	X4-1x402.xml	2	636	1036	97	45	52	0.477243932338015	> p = 0.05	836.0	0.4470046082949309	0.4639175257731959
195	X4-1x402.xml	2	638	1038	97	45	52	0.477243932338015	> p = 0.05	838.0	0.44930875576036866	0.4639175257731959
196	X4-1x402.xml	2	640	1040	97	45	52	0.477243932338015	> p = 0.05	840.0	0.45161290322580644	0.4639175257731959
197	X4-1x402.xml	2	642	1042	97	45	52	0.477243932338015	> p = 0.05	842.0	0.4539170506912442	0.4639175257731959
198	X4-1x402.xml	2	644	1044	98	45	53	0.4190203335343158	> p = 0.05	844.0	0.45622119815668205	0.45918367346938777
199	X4-1x402.xml	2	646	1046	96	45	51	0.5402913746074198	> p = 0.05	846.0	0.45852534562211983	0.46875
200	X4-1x402.xml	2	648	1048	96	45	51	0.5402913746074198	> p = 0.05	848.0	0.4608294930875576	0.46875
201	X4-1x402.xml	2	650	1050	97	46	51	0.6116826285655788	> p = 0.05	850.0	0.4631336405529954	0.4742268041237113
202	X4-1x402.xml	2	652	1052	97	46	51	0.6116826285655788	> p = 0.05	852.0	0.46543778801843316	0.4742268041237113
203	X4-1x402.xml	2	654	1054	97	46	51	0.6116826285655788	> p = 0.05	854.0	0.46774193548387094	0.4742268041237113
204	X4-1x402.xml	2	656	1056	97	46	51	0.6116826285655788	> p = 0.05	856.0	0.4700460829493088	0.4742268041237113
205	X4-1x402.xml	2	658	1058	97	46	51	0.6116826285655788	> p = 0.05	858.0	0.47235023041474655	0.4742268041237113
206	X4-1x402.xml	2	660	1060	97	46	51	0.6116826285655788	> p = 0.05	860.0	0.47465437788018433	0.4742268041237113
207	X4-1x402.xml	2	662	1062	96	45	51	0.5402913746074198	> p = 0.05	862.0	0.4769585253456221	0.46875
208	X4-1x402.xml	2	664	1064	95	45	50	0.607958892174999	> p = 0.05	864.0	0.4792626728110599	0.47368421052631576
209	X4-1x402.xml	2	666	1066	95	45	50	0.607958892174999	> p = 0.05	866.0	0.4815668202764977	0.47368421052631576
210	X4-1x402.xml	2	668	1068	96	45	51	0.5402913746074198	> p = 0.05	868.0	0.4838709677419355	0.46875
211	X4-1x402.xml	2	670	1070	97	45	52	0.477243932338015	> p = 0.05	870.0	0.4861751152073733	0.4639175257731959
212	X4-1x402.xml	2	672	1072	97	44	53	0.3608158770840829	> p = 0.05	872.0	0.48847926267281105	0.4536082474226804
213	X4-1x402.xml	2	674	1074	98	44	54	0.3124222112426905	> p = 0.05	874.0	0.49078341013824883	0.4489795918367347
214	X4-1x402.xml	2	676	1076	98	44	54	0.3124222112426905	> p = 0.05	876.0	0.4930875576036866	0.4489795918367347
215	X4-1x402.xml	2	678	1078	101	44	57	0.19582147392261087	> p = 0.05	878.0	0.49539170506912444	0.43564356435643564
216	X4-1x402.xml	2	680	1080	100	44	56	0.23013934044341314	> p = 0.05	880.0	0.4976958525345622	0.44
217	X4-1x402.xml	2	682	1082	100	45	55	0.31731050786291115	> p = 0.05	882.0	0.5	0.45
218	X4-1x402.xml	2	684	1084	100	45	55	0.31731050786291115	> p = 0.05	884.0	0.5023041474654378	0.45
219	X4-1x402.xml	2	686	1086	99	45	54	0.36571229628151314	> p = 0.05	886.0	0.5046082949308756	0.45454545454545453
220	X4-1x402.xml	2	688	1088	96	44	52	0.4142161782425251	> p = 0.05	888.0	0.5069124423963134	0.4583333333333333
